userId,surveyType,Anger-Ag,Wanting-Dr,Dread-Ax,Sad-S,Easygoing-R,Grossed-Out-Dg,Happy-H,Terror-F,Rage-Ag,Grief-S,Nausea-Dg,Anxiety-Ax,Chilled-Out-R,Desire-Dr,Nervous-Ax,Lonely-S,Scared-F,Mad-Ag,Satisfaction-H,Sickened-Dg,Empty-S,Craving-Dr,Panic-F,Longing-Dr,Calm-R,Fear-F,Relaxation-R,Revulsion-Dg,Worry-Ax,Enjoyment-H,Pissed-Off-Ag,Linking-H,username,userGroup,userLoginTime,surveyTime
dm5a7kk84zie2,deq,3,4,3,4,2,2,2,3,1,2,2,3,1,3,3,3,4,1,1,2,4,3,2,4,1,3,2,2,5,2,2,3,board14485,Keyboard,2021-01-22-21-01-22,2021-01-23-21-49-21
dm5a7kk5i4uxy,deq,1,3,1,2,6,2,6,1,1,1,2,3,6,4,2,1,1,1,5,1,1,2,1,1,5,1,4,1,1,6,2,5,ear35074,Frank,2021-01-21-00-48-37,2021-01-23-21-57-40
1d9q7kk1lzj2d,deq,1,3,4,5,1,1,2,1,1,2,1,3,1,2,1,4,2,1,1,1,5,1,1,3,1,1,1,1,3,2,1,1,examine85198,FrankKeyboard,2021-01-18-07-21-41,2021-01-24-20-10-48
dm5a7kkayi7fv,deq,2,1,1,2,3,1,4,1,1,2,1,2,4,1,1,1,1,1,2,1,2,1,1,1,3,1,2,1,1,3,1,1,particles77090,Keyboard,2021-01-24-20-23-08,2021-01-24-20-27-38
dm5a7kkavk1rw,deq,1,5,3,2,5,1,4,4,1,2,2,6,2,3,2,3,5,1,2,3,2,1,3,1,2,4,2,1,6,2,1,3,upon22319,Keyboard,2021-01-24-18-57-02,2021-01-24-20-58-48
1d9q7kk27xl5s,deq,2,2,2,3,2,1,3,1,1,2,1,2,2,2,2,1,1,2,3,1,1,1,1,2,2,1,3,1,2,3,2,3,wild73075,FrankKeyboard,2021-01-18-17-38-00,2021-01-24-21-13-10
dm5a7kk84zie2,deq,2,3,3,3,2,2,3,2,1,3,5,4,2,2,4,2,3,2,1,4,,4,2,2,3,3,1,3,5,2,3,2,board14485,Keyboard,2021-01-22-21-01-22,2021-01-24-21-46-53
1d9q7kk2k2ajc,deq,1,2,1,1,5,1,5,1,1,3,1,1,5,2,1,2,1,1,4,2,2,2,1,4,5,1,5,1,2,5,1,4,taught80221,Keyboard,2021-01-18-23-17-11,2021-01-24-21-48-02
1d9q7kk3kodkf,deq,3,2,2,3,4,1,3,1,2,3,1,3,2,1,3,3,2,3,2,1,2,2,1,3,3,2,2,1,3,2,3,2,anything52840,Frank,2021-01-19-16-23-49,2021-01-24-21-50-00
1d9q7kk3kodkf,deq,4,3,2,1,3,2,3,1,3,1,1,3,2,2,3,1,1,4,2,2,1,2,2,2,3,1,2,1,3,2,4,2,anything52840,Frank,2021-01-19-16-23-49,2021-01-25-21-05-58
