Anger,Sadness,Fear,Joy,Disgust,userId,username,userGroup,userLoginTime,inputTime,inputText
0.020781532,0.00140498,0.014624735,0.043233104,0.020589043,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,U could do that whilst I
,,,,,,,,,,
0.019431143,0.006288485,0.042050775,0.030049235,0.023073907,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,try get as much done at school as I can grinning face with big eyes
,,,,,,,,,,
0.006418919,0.002295083,0.01404495,0.138051068,0.019720929,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,Going to a friends place in an hour
,,,,,,,,,,
0.005339358,0.000956471,0.007707146,0.097789425,0.016316096,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,Pilot house for a swim with doggos
,,,,,,,,,,
0.050415669,0.018897675,0.012794303,0.002238881,0.028086079,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,That number thing I set up for
,,,,,,,,,,
0.026032125,0.003315472,0.032519898,0.105269065,0.037037581,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,Got roads cars and parcel bags
,,,,,,,,,,
0.152282338,0.158259739,0.145146227,0,0.089721818,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,I have to go to school
,,,,,,,,,,
0.005429764,0.035545938,0.013560403,0.032720222,0.009617949,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-19-00-00,Just leaving school now and i shall be over
,,,,,,,,,,
0.00226702,0.002759467,0.022810463,0.057238736,0.016896429,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-19-00-00,grinning face with big eyes
,,,,,,,,,,
0.003179865,0.000159762,0.005449223,0.060199,0.00802094,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-19-00-00,Little more neat
,,,,,,,,,,
0.072921487,0.064668253,0.089824126,0.009474641,0.047280417,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,Today was busy still have planning to do for the week and I m waiting for my Coles order dinner
,,,,,,,,,,
0.033741341,0.165779763,0.034903483,0.140785733,0.046781492,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,red heart selector red heart selector red heart selector red heart selector
,,,,,,,,,,
0.034971011,0.018730243,0.052690251,0.025983472,0.03267025,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,Post office will need paper and bubble wrap added and a satchel for the
,,,,,,,,,,
0.02668434,0.00633332,0.05861717,0.027363222,0.027080257,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,Or I might add my balls or an alphabet match
,,,,,,,,,,
0.017631762,0.00237961,0.019969483,0.056360688,0.026242289,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,Pens and the labels are there for the to up
,,,,,,,,,,
0.028737203,0.005358064,0.016248558,0.006068704,0.020904561,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,The other tray I will think of
,,,,,,,,,,
0.051833397,0.048648857,0.063883917,0.007648839,0.040728954,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,was at am and I slept in till
,,,,,,,,,,
0.039116926,0.029090842,0.077076665,0.026823095,0.033990066,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,t get a PIC sorry
,,,,,,,,,,
0.0296256,0.17888292,0.070347473,0.004054575,0.030631313,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-22-00-00,How did Luke go
,,,,,,,,,,
0.08464351,0.11546669,0.055112471,0,0.047149268,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-09-00-00,Just on my way to school now
,,,,,,,,,,
0.013481638,0.003612149,0.02242826,0.057682273,0.020502432,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-16-00-00,Going to head early today
,,,,,,,,,,
0.041978331,0.044506436,0.068475151,0.012017669,0.036284206,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-17-00-00,I leave here at
,,,,,,,,,,
0.031375964,0.003809506,0.041107563,0.055975326,0.036390882,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-18-00-00,Well I think I can take them to the jungle park at Holmes
,,,,,,,,,,
0.012521755,0.006943294,0.024577085,0.03152421,0.006483697,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-18-00-00,Are you coming to wash pups and walk with me
,,,,,,,,,,
0.033391693,0.001623784,0.019702148,0.042047815,0.04291368,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-18-00-00,Yeah then I can go to dirty bit
,,,,,,,,,,
0.039236553,0.159204866,0.048127965,0,0.032395479,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-18-00-00,It has been a day
,,,,,,,,,,
0.022784564,0.00449755,0.042991609,0.105242043,0.027740749,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-20-00-00,How exciting bound
,,,,,,,,,,
0.004355734,0.001627979,0.008300324,0.125648961,0.016545345,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-22-00-00,Hi would like to have a chat with me and you tomorrow after school does this work for you
,,,,,,,,,,
0.010800527,0.046489648,0.020512685,0.115987988,0.009546857,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-23-19-00-00,In a big blue car
,,,,,,,,,,
0,0,0,0.051407824,0,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-23-20-00-00,I will call u when I am home
,,,,,,,,,,
0.037979945,0.088489002,0.088028078,0.013716563,0.033563386,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-23-20-00-00,Damn I finish training at
,,,,,,,,,,
0.00226702,0.002759467,0.022810463,0.057238736,0.016896429,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-13-00-00,grinning face with big eyes
,,,,,,,,,,
0.00693213,0,0.001274642,0.137248297,0.020618292,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-13-00-00,Love you well done
,,,,,,,,,,
0.008205445,0.004410028,0.032235522,0.080282324,0.014320616,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-18-00-00,Possibly yes please grinning face with big eyes
,,,,,,,,,,
0.00226702,0.002759467,0.022810463,0.057238736,0.016896429,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-18-00-00,grinning face with big eyes
,,,,,,,,,,
0.048641115,0.043649367,0.05955128,0.005375797,0.041231653,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-18-00-00,Is this still available
,,,,,,,,,,
0.026540539,0.044906904,0.03366106,0.021745463,0.025333843,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-19-00-00,Spending all your money basically
,,,,,,,,,,
0.046288569,0.028211207,0.073453893,0.048672009,0.036701993,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-19-00-00,Booking cleaning soon
,,,,,,,,,,
